Neighborhood,MSSubClass,Exterior1st,Exterior2nd,SaleType,MSZoning,SalePrice,Id,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,KitchenQual_MISSING
8,7,10,10,7,5,136500,79,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,6,7,4,7,3,110000,80,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11,16,13,15,7,5,193500,81,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13,15,13,15,7,3,153500,82,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,12,13,15,7,5,245000,83,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,8,6,4,5,126500,84,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15,14,10,10,7,5,168500,85,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
25,16,10,10,7,5,260000,86,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,16,13,15,7,5,174000,87,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,10,13,15,9,6,164500,88,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,6,12,12,5,2,85000,89,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,12,13,15,7,5,123600,90,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,11,4,7,5,109900,91,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
11,12,10,10,7,5,98600,92,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,3,7,4,7,5,163500,93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,8,6,7,2,133900,94,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,16,13,15,7,5,204750,95,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,16,13,15,7,5,185000,96,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
18,12,13,15,7,5,214000,97,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,12,10,10,7,5,94750,98,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,3,7,4,4,5,83000,99,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,12,12,12,7,5,128950,100,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,12,12,12,7,5,205000,101,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
14,16,10,10,7,5,178000,102,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
14,7,10,10,7,5,118964,103,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
18,12,13,15,7,5,198900,104,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,6,9,8,7,3,169500,105,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,16,13,15,7,6,250000,106,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,3,13,15,7,3,100000,107,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,12,13,15,7,3,115000,108,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,6,14,16,7,3,115000,109,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16,12,12,12,4,5,190000,110,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,6,7,4,7,5,136900,111,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15,14,13,15,7,5,180000,112,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,16,13,15,9,5,383970,113,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20,12,7,4,4,5,217000,114,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,11,7,4,7,5,259500,115,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,10,8,6,7,6,176000,116,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
8,12,7,4,7,5,139000,117,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,12,13,15,9,5,155000,118,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
14,16,12,12,7,5,320000,119,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
18,16,13,15,9,5,163990,120,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,14,12,12,7,5,180000,121,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,6,5,3,7,3,100000,122,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11,12,8,6,7,5,136000,123,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14,15,12,12,7,5,153900,124,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,12,10,10,7,5,181000,125,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,5,7,4,7,3,84500,126,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,15,12,12,7,5,128000,127,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,4,6,4,7,3,87000,128,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,16,13,15,7,5,155000,129,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,12,12,7,5,150000,130,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,16,8,6,7,5,226000,131,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,16,13,15,7,5,244000,132,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,8,6,7,5,150750,133,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23,12,13,15,7,5,220000,134,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,12,12,12,7,5,180000,135,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16,12,12,12,7,5,174000,136,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11,12,8,6,7,5,143000,137,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13,7,13,15,7,5,171000,138,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
18,16,13,15,7,5,230000,139,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,16,13,15,7,5,231500,140,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,10,10,3,5,115000,141,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,12,13,15,7,5,260000,142,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,6,11,4,7,5,166000,143,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,12,13,15,7,5,204000,144,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,7,10,10,3,3,125000,145,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,10,13,15,7,3,130000,146,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,3,7,4,7,3,105000,147,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,16,13,15,7,5,222500,148,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,12,13,15,7,5,141000,149,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,6,8,6,7,3,115000,150,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,12,10,10,7,5,122000,151,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26,12,13,15,9,5,372402,152,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16,16,10,10,7,5,190000,153,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,12,11,12,7,5,235000,154,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,3,7,4,7,3,125000,155,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,6,7,4,7,5,79000,156,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
11,12,7,4,7,5,109500,157,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23,16,13,15,9,5,269500,158,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
22,16,13,15,7,6,254900,159,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,16,13,15,9,5,320000,160,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,12,12,12,7,5,162500,161,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
26,16,13,15,7,5,412500,162,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,12,13,15,9,5,220000,163,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,4,8,6,7,5,103200,164,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,9,8,6,7,3,152000,165,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6,5,7,4,7,5,127500,166,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,12,7,4,4,5,190000,167,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,16,13,15,9,5,325624,168,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,16,13,15,7,5,183500,169,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,12,12,12,7,5,228000,170,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,6,8,6,7,3,128500,171,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,11,12,7,5,215000,172,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24,10,10,10,7,5,239000,173,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11,12,6,5,4,5,163000,174,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23,12,13,12,7,5,184000,175,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,12,6,5,7,5,243000,176,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,16,12,12,7,5,211000,177,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8,6,8,6,7,5,172500,178,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,12,13,15,9,5,501837,179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,3,7,4,7,3,100000,180,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,10,8,6,7,6,177000,181,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,11,9,8,7,5,200100,182,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6,12,7,4,7,5,120000,183,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,6,13,15,7,3,200000,184,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,6,5,12,7,5,127000,185,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,13,7,4,7,3,475000,186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,14,10,10,7,5,173000,187,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,6,10,10,7,5,135000,188,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,7,12,12,7,5,153337,189,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
24,15,14,16,7,5,286000,190,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,11,11,11,7,5,315000,191,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,16,10,10,7,5,184000,192,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,12,13,15,7,5,192000,193,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,10,13,15,7,3,130000,194,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,12,10,10,7,5,127000,195,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,10,12,9,7,5,148500,196,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,12,14,16,9,5,311872,197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11,13,9,8,7,5,235000,198,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5,13,7,4,7,3,104000,199,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12,13,15,7,5,274900,200,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,12,13,15,7,3,140000,201,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,12,12,12,7,5,171500,202,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,6,8,6,4,5,112000,203,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,15,13,15,7,3,149000,204,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,6,5,3,7,3,110000,205,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,12,10,10,7,5,180500,206,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,12,10,10,7,5,143900,207,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,7,4,7,5,141000,208,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
14,16,12,12,7,5,277000,209,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,10,10,7,5,145000,210,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,3,9,8,7,5,98000,211,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,12,13,15,7,5,186000,212,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,16,13,15,9,6,252678,213,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18,12,13,15,7,5,156000,214,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,16,10,10,7,5,161750,215,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,10,10,7,5,134450,216,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,12,13,15,7,5,210000,217,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,11,8,6,7,3,107000,218,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20,6,13,15,7,5,311500,219,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,15,13,15,9,5,167240,220,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18,12,13,15,9,5,204900,221,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,16,13,15,3,5,200000,222,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,16,13,15,7,5,179900,223,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,10,10,7,5,97000,224,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,12,13,15,7,5,386250,225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,10,10,10,4,3,112000,226,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,16,13,15,7,5,290000,227,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,10,10,7,3,106000,228,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
